rank,strategy,period,target,trades,net_pnl_including_funding,win_rate
4,v3_selected_4_RIDGE_15m_2bp,holdout,XRPUSDT,49,-362.69504414824877,0.5102040816326531
5,v3_selected_5_PCA3_15m_2bp,valid,AAVEUSDT,56,-387.2593006139434,0.6071428571428571
5,v3_selected_5_PCA3_15m_2bp,valid,ADAUSDT,40,-543.1073440552609,0.5
5,v3_selected_5_PCA3_15m_2bp,valid,AVAXUSDT,48,357.3326115357986,0.7083333333333334
5,v3_selected_5_PCA3_15m_2bp,valid,BCHUSDT,37,-617.8479500807507,0.7027027027027027
5,v3_selected_5_PCA3_15m_2bp,valid,BNBUSDT,49,-317.88686043550166,0.5714285714285714
5,v3_selected_5_PCA3_15m_2bp,valid,BTCUSDT,42,-298.114378920862,0.4523809523809524
5,v3_selected_5_PCA3_15m_2bp,valid,DOGEUSDT,42,72.85198781147523,0.6190476190476191
5,v3_selected_5_PCA3_15m_2bp,valid,DOTUSDT,56,-222.11494413369311,0.5178571428571429
5,v3_selected_5_PCA3_15m_2bp,valid,ETHUSDT,39,-166.02577572214855,0.4358974358974359
5,v3_selected_5_PCA3_15m_2bp,valid,FILUSDT,42,-49.98257055238504,0.6428571428571429
5,v3_selected_5_PCA3_15m_2bp,valid,HBARUSDT,55,145.4585549336863,0.6545454545454545
5,v3_selected_5_PCA3_15m_2bp,valid,LINKUSDT,48,21.25587794442086,0.625
5,v3_selected_5_PCA3_15m_2bp,valid,LTCUSDT,51,168.5724535958247,0.6078431372549019
5,v3_selected_5_PCA3_15m_2bp,valid,NEARUSDT,68,-503.76460161336604,0.6029411764705882
5,v3_selected_5_PCA3_15m_2bp,valid,SOLUSDT,52,-194.6660579411107,0.5384615384615384
5,v3_selected_5_PCA3_15m_2bp,valid,SUIUSDT,54,-774.6244139330048,0.37037037037037035
5,v3_selected_5_PCA3_15m_2bp,valid,TRXUSDT,52,-346.37870074532447,0.38461538461538464
5,v3_selected_5_PCA3_15m_2bp,valid,UNIUSDT,54,-787.659603894587,0.48148148148148145
5,v3_selected_5_PCA3_15m_2bp,valid,XLMUSDT,47,-1826.6750186619377,0.574468085106383
5,v3_selected_5_PCA3_15m_2bp,valid,XRPUSDT,51,-6.696585269946009,0.5686274509803921
5,v3_selected_5_PCA3_15m_2bp,holdout,AAVEUSDT,52,-53.377608889277,0.5384615384615384
5,v3_selected_5_PCA3_15m_2bp,holdout,ADAUSDT,57,-792.6828625626067,0.543859649122807
5,v3_selected_5_PCA3_15m_2bp,holdout,AVAXUSDT,34,-260.74892256783204,0.5
5,v3_selected_5_PCA3_15m_2bp,holdout,BCHUSDT,51,-162.00794224058836,0.6470588235294118
5,v3_selected_5_PCA3_15m_2bp,holdout,BNBUSDT,47,-136.15170797727322,0.5531914893617021
5,v3_selected_5_PCA3_15m_2bp,holdout,BTCUSDT,43,-354.93116001558536,0.4418604651162791
5,v3_selected_5_PCA3_15m_2bp,holdout,DOGEUSDT,37,-410.09371983615114,0.4864864864864865
5,v3_selected_5_PCA3_15m_2bp,holdout,DOTUSDT,50,-226.45753629590044,0.56
5,v3_selected_5_PCA3_15m_2bp,holdout,ETHUSDT,42,-247.82879043780898,0.47619047619047616
5,v3_selected_5_PCA3_15m_2bp,holdout,FILUSDT,49,356.14010523927186,0.6326530612244898
5,v3_selected_5_PCA3_15m_2bp,holdout,HBARUSDT,50,195.94922422264486,0.7
5,v3_selected_5_PCA3_15m_2bp,holdout,LINKUSDT,56,-239.22811779463922,0.5
5,v3_selected_5_PCA3_15m_2bp,holdout,LTCUSDT,57,323.86675444686847,0.6140350877192983
5,v3_selected_5_PCA3_15m_2bp,holdout,NEARUSDT,68,676.338946021335,0.7647058823529411
5,v3_selected_5_PCA3_15m_2bp,holdout,SOLUSDT,60,73.78516127328326,0.5833333333333334
5,v3_selected_5_PCA3_15m_2bp,holdout,SUIUSDT,53,69.17218278608283,0.6226415094339622
5,v3_selected_5_PCA3_15m_2bp,holdout,TRXUSDT,60,29.522543948347973,0.5666666666666667
5,v3_selected_5_PCA3_15m_2bp,holdout,UNIUSDT,52,-1421.6356778346762,0.46153846153846156
5,v3_selected_5_PCA3_15m_2bp,holdout,XLMUSDT,45,-36.42631610926458,0.6222222222222222
5,v3_selected_5_PCA3_15m_2bp,holdout,XRPUSDT,43,-383.18039255359037,0.4883720930232558
6,v3_selected_6_B0_15m_2bp,valid,AAVEUSDT,45,-150.01855296942276,0.6222222222222222
6,v3_selected_6_B0_15m_2bp,valid,ADAUSDT,27,350.5470141283079,0.6666666666666666
6,v3_selected_6_B0_15m_2bp,valid,AVAXUSDT,28,937.6366686814628,0.6785714285714286
6,v3_selected_6_B0_15m_2bp,valid,BCHUSDT,42,-2335.6994188471076,0.5714285714285714
6,v3_selected_6_B0_15m_2bp,valid,BNBUSDT,37,88.36775412577516,0.5675675675675675
6,v3_selected_6_B0_15m_2bp,valid,BTCUSDT,47,409.45810799816627,0.6382978723404256
6,v3_selected_6_B0_15m_2bp,valid,DOGEUSDT,28,483.2746436333961,0.6785714285714286
6,v3_selected_6_B0_15m_2bp,valid,DOTUSDT,22,1094.2787449083169,0.6818181818181818
6,v3_selected_6_B0_15m_2bp,valid,ETHUSDT,30,729.1311373034181,0.7333333333333333
6,v3_selected_6_B0_15m_2bp,valid,FILUSDT,45,3011.322268781482,0.7555555555555555
