id,model,frequency_min,target,signal_time,entry_time,exit_time,gross_target,entry_turnover,exit_turnover,price_pnl,fee,funding_cashflow,net_pnl,net_pnl_including_funding,hold_minutes,z_entry,reason
55,B0,15,NEARUSDT,2026-05-06 08:14:00+00:00,2026-05-06 08:16:00+00:00,2026-05-06 09:01:00+00:00,10001.475949775846,10001.475949775846,10356.600820456293,-355.1248706804478,4.071615354046427,0.0,-359.1964860344943,-359.1964860344943,45.0,2.450088813080744,stop
56,B0,15,XLMUSDT,2026-05-06 08:44:00+00:00,2026-05-06 08:46:00+00:00,2026-05-06 11:31:00+00:00,9974.460368797307,9969.001558014748,10011.458975212427,-42.457417197678176,3.996092106645435,0.0,-46.45350930432361,-46.45350930432361,165.0,2.0154301932790224,mean
57,B0,15,NEARUSDT,2026-05-06 09:14:00+00:00,2026-05-06 09:16:00+00:00,2026-05-06 11:46:00+00:00,9960.98987251519,10003.048943053609,10318.491972091739,-315.4430290381301,4.06430818302907,0.0,-319.50733722115916,-319.50733722115916,150.0,3.0124800435275203,stop
58,B0,15,AAVEUSDT,2026-05-06 13:29:00+00:00,2026-05-06 13:31:00+00:00,2026-05-06 16:16:00+00:00,9928.960216519852,9923.664771071042,9925.782949250566,2.118178179523814,3.9698895440643214,0.060775234326108846,-1.8517113645405074,-1.7909361302143987,165.0,-2.382102966619011,mean
59,B0,15,XLMUSDT,2026-05-06 14:14:00+00:00,2026-05-06 14:16:00+00:00,2026-05-06 17:16:00+00:00,9922.195390867906,9912.361089545111,9885.931404740099,-26.429684805011835,3.959658498857042,1.0701593445703685,-30.389343303868877,-29.31918395929851,180.0,-2.1154137738375134,mean
60,B0,15,XLMUSDT,2026-05-08 18:14:00+00:00,2026-05-08 18:16:00+00:00,2026-05-08 20:16:00+00:00,9925.8492045109,9942.138891389199,9908.352874160131,33.786017229067305,3.970098353109866,0.0,29.81591887595744,29.81591887595744,120.0,2.0138880482121935,mean
61,B0,15,AAVEUSDT,2026-05-09 01:44:00+00:00,2026-05-09 01:46:00+00:00,2026-05-09 03:46:00+00:00,9928.830796398493,9915.799519230077,9829.592608731311,86.20691049876527,3.9490784255922775,0.0,82.25783207317299,82.25783207317299,120.0,2.737285886018396,mean
62,B0,15,XRPUSDT,2026-05-10 16:29:00+00:00,2026-05-10 16:31:00+00:00,2026-05-10 19:16:00+00:00,9937.05657960581,9958.71036309559,10019.611629160589,-60.90126606499917,3.995664398451236,0.0,-64.8969304634504,-64.8969304634504,165.0,2.2433495795151104,mean
63,B0,15,XLMUSDT,2026-05-10 17:14:00+00:00,2026-05-10 17:16:00+00:00,2026-05-10 19:16:00+00:00,9927.7222154888,9904.097129248448,9870.676275542584,33.42085370586498,3.9549546809582066,0.0,29.465899024906772,29.465899024906772,120.0,2.3990915442563003,mean
64,B0,15,TRXUSDT,2026-05-14 10:29:00+00:00,2026-05-14 10:31:00+00:00,2026-05-14 12:16:00+00:00,9933.513476461956,9936.590166543361,9898.830788271578,37.75937827178324,3.9670841909629875,0.0,33.79229408082025,33.79229408082025,105.0,2.6644001647186495,mean
65,B0,15,XRPUSDT,2026-05-14 18:29:00+00:00,2026-05-14 18:31:00+00:00,2026-05-14 20:16:00+00:00,9936.892705870037,9894.781737954954,9763.265945850922,131.5157921040317,3.931609536761175,0.0,127.58418256727055,127.58418256727055,105.0,2.0213707801822904,mean
67,B0,15,LTCUSDT,2026-05-15 13:59:00+00:00,2026-05-15 14:01:00+00:00,2026-05-15 16:16:00+00:00,9945.31103129181,9938.270103128063,10029.802169256767,91.53206612870268,3.993614454476966,0.40935955747628633,87.53845167422571,87.947811231702,135.0,-2.064998105289063,mean
66,B0,15,BTCUSDT,2026-05-15 13:44:00+00:00,2026-05-15 13:46:00+00:00,2026-05-15 16:31:00+00:00,9949.651124126765,9942.15587714354,9975.20538900918,33.04951186564149,3.983472253230544,-0.1540231301791718,29.066039612410947,28.912016482231774,165.0,-2.038893411197379,mean
68,B0,15,LINKUSDT,2026-05-22 19:44:00+00:00,2026-05-22 19:46:00+00:00,2026-05-22 21:31:00+00:00,9961.337106898158,9951.806753548304,10123.35311384569,171.54636029738597,4.0150319734787985,0.0,167.53132832390716,167.53132832390716,105.0,-2.110305181410998,mean
69,B0,15,SOLUSDT,2026-05-23 07:59:00+00:00,2026-05-23 08:01:00+00:00,2026-05-23 10:46:00+00:00,9978.090239730549,9969.592048748907,9990.230512561468,20.638463812558832,3.991964512262075,0.0,16.646499300296757,16.646499300296757,165.0,-2.0600502992326613,mean
70,B0,15,LINKUSDT,2026-05-23 20:59:00+00:00,2026-05-23 21:01:00+00:00,2026-05-23 22:46:00+00:00,9979.75488966058,9987.941727141842,9786.340854165723,201.60087297612037,3.954856516261513,0.0,197.64601645985886,197.64601645985886,105.0,2.2247923332550603,mean
71,B0,15,AVAXUSDT,2026-05-23 20:59:00+00:00,2026-05-23 21:01:00+00:00,2026-05-23 22:46:00+00:00,9979.75488966058,10015.329608285914,9838.50233041292,176.82727787299487,3.970766387739767,0.0,172.85651148525508,172.85651148525508,105.0,2.0466240243539056,mean
