symbol,band,minutes,n,mean,median,positive_rate,q05,model
XLMUSDT,1-2,15,9660,-1.1141054165546532e-05,0.0,0.4934782608695652,-0.0082490146706497,B0
XLMUSDT,1-2,30,9660,4.516175050829467e-05,-1.9753476611927837e-05,0.4951345755693582,-0.0105254671509838,B0
XLMUSDT,1-2,60,9659,0.0002144311464336,-6.401229035979394e-05,0.4919763950719536,-0.0143690785646247,B0
XLMUSDT,1-2,120,9659,0.0006095647074091,-0.0004336513443192,0.477482141008386,-0.0175976151535069,B0
XLMUSDT,1-2,240,9657,0.0009225954835047,-0.0008255082034877,0.4610127368748058,-0.0241564783573205,B0
XLMUSDT,1-2,1440,9609,0.0057506211887642,-0.0021651913647073,0.4693516494952648,-0.0495050522317721,B0
XLMUSDT,2-3,5,1970,0.0004791599119428,0.0003025718885172,0.5426395939086295,-0.0074263751051501,B0
XLMUSDT,2-3,15,1970,0.0006903494233065,0.0004212164827995,0.5360406091370559,-0.0097985096708709,B0
XLMUSDT,2-3,30,1970,0.0008992251060856,0.0003516142222956,0.5203045685279187,-0.0122781175843329,B0
XLMUSDT,2-3,60,1970,0.0017100621208969,0.00025894633164,0.5126903553299492,-0.01548372853119,B0
XLMUSDT,2-3,120,1970,0.0031227296562807,0.0005625324831419,0.5223350253807106,-0.0227931061693771,B0
XLMUSDT,2-3,240,1970,0.0035320592198374,-0.0004450226243215,0.4847715736040609,-0.0307808644973146,B0
XLMUSDT,2-3,1440,1967,0.0086055576164092,-0.0044965167827739,0.4575495678698525,-0.0531748007894492,B0
XLMUSDT,3-4,5,693,0.0006363175632865,0.0001732001616534,0.5209235209235209,-0.0093731899785389,B0
XLMUSDT,3-4,15,693,0.0015669244391052,0.0010957569854508,0.5627705627705628,-0.0135427528254002,B0
XLMUSDT,3-4,30,693,0.0027260944780398,0.0018675226145314,0.5916305916305916,-0.0151911367153717,B0
XLMUSDT,3-4,60,693,0.0030621936535486,0.0019370260468183,0.5743145743145743,-0.021770551487488,B0
XLMUSDT,3-4,120,693,0.0045939416813795,0.0014240403909637,0.5526695526695526,-0.0385350729150227,B0
XLMUSDT,3-4,240,693,0.0044396470205389,0.0006286540516755,0.5194805194805194,-0.0405835528484699,B0
XLMUSDT,3-4,1440,692,0.0063570086692993,-0.0034762996988516,0.4566473988439306,-0.0992381103541937,B0
XLMUSDT,4+,5,400,-0.000110865318858,0.0003808964467082,0.52,-0.0153624712907281,B0
XLMUSDT,4+,15,400,0.0002173274030836,0.0012310878379845,0.545,-0.021302740879808,B0
XLMUSDT,4+,30,400,0.0002262467818545,0.0008794969641086,0.54,-0.0305168612297608,B0
XLMUSDT,4+,60,400,0.0034305179336995,0.0036956894087465,0.6425,-0.0255155457821758,B0
XLMUSDT,4+,120,400,0.0064797514755911,0.003701953211881,0.605,-0.0452035143179322,B0
