rank,strategy,period,return,start_equity,end_equity
5,v3_selected_5_PCA3_15m_2bp,2026-08,-0.024523662987913752,92413.12235109416,90146.81408289509
6,v3_selected_6_B0_15m_2bp,formation,0.028869129056978027,100000.0,102886.9129056978
6,v3_selected_6_B0_15m_2bp,valid,0.04601547788656313,102886.9129056978,107621.30337132668
6,v3_selected_6_B0_15m_2bp,holdout,-0.037508754537903144,107621.30337132668,103584.56232012238
6,v3_selected_6_B0_15m_2bp,2026-03,0.026047966679010326,100000.0,102604.79666790104
6,v3_selected_6_B0_15m_2bp,2026-04,0.0027495423894252635,102604.79666790104,102886.9129056978
6,v3_selected_6_B0_15m_2bp,2026-05,-0.0035426285563801008,102886.9129056978,102522.42278996028
6,v3_selected_6_B0_15m_2bp,2026-06,0.04973429658224693,102522.42278996028,107621.30337132668
6,v3_selected_6_B0_15m_2bp,2026-07,0.02056511878318612,107621.30337132668,109834.54825875931
6,v3_selected_6_B0_15m_2bp,2026-08,-0.05690364314070462,109834.54825875931,103584.56232012238
7,v3_selected_7_AR1_15m_2bp,formation,-0.038687401270296795,100000.0,96131.25987297032
7,v3_selected_7_AR1_15m_2bp,valid,0.037513252130565,96131.25987297032,99737.45606221393
7,v3_selected_7_AR1_15m_2bp,holdout,-0.0594475472658077,99737.45606221393,93808.30892878404
7,v3_selected_7_AR1_15m_2bp,2026-03,-0.01736014080957049,100000.0,98263.98591904296
7,v3_selected_7_AR1_15m_2bp,2026-04,-0.02170404575110285,98263.98591904296,96131.25987297032
7,v3_selected_7_AR1_15m_2bp,2026-05,-0.028837876224973025,96131.25987297032,93359.03849940289
7,v3_selected_7_AR1_15m_2bp,2026-06,0.06832137161365304,93359.03849940289,99737.45606221393
7,v3_selected_7_AR1_15m_2bp,2026-07,-0.04565276727613177,99737.45606221393,95184.16519189226
7,v3_selected_7_AR1_15m_2bp,2026-08,-0.014454675946723672,95184.16519189226,93808.30892878404
8,v3_selected_8_AR1_60m_2bp,formation,-0.03515535281528126,100000.0,96484.46471847188
8,v3_selected_8_AR1_60m_2bp,valid,0.031877521455239144,96484.46471847188,99560.15031263223
8,v3_selected_8_AR1_60m_2bp,holdout,-0.04182676844627853,99560.15031263223,95395.87095902908
8,v3_selected_8_AR1_60m_2bp,2026-03,-0.020695118022039383,100000.0,97930.48819779606
