strategy,horizon_min,fee_bp,trades,allocation_per_pair,mean_price_bp,mean_funding_bp,mean_gross_bp,return,may_jun_return,jul_aug_return,max_drawdown,win_rate,break_even_one_way_bp
cross_sectional_q5,240.0,0.5,1102,1.0,1.8458221478002346,0.0,1.8458221478002346,0.0885677337920372,0.047775815164381674,0.009758237038317352,-0.10725622154175007,0.5381125226860254,0.9229110739001173
sign_reversal,240.0,1.0,1103,1.0,-1.4461015491827907,0.0,-1.4461015491827907,-0.3364171451431961,-0.12036895167406414,0.02823620169433383,-0.4178637608219028,0.485947416137806,-0.7230507745913953
cross_sectional_q5,240.0,1.0,1102,1.0,1.8458221478002346,0.0,1.8458221478002346,-0.025016794884064164,0.010122970812216803,-0.02711577175995039,-0.13733887153357194,0.5199637023593466,0.9229110739001173
sign_reversal,240.0,2.0,1103,1.0,-1.4461015491827907,0.0,-1.4461015491827907,-0.46784030554452927,-0.1824869714734163,-0.04549113811044869,-0.5270592256912066,0.4551223934723481,-0.7230507745913953
cross_sectional_q5,240.0,2.0,1102,1.0,1.8458221478002346,0.0,1.8458221478002346,-0.21789307782626177,-0.06118237651416503,-0.09688338591962742,-0.25489826370116464,0.49727767695099817,0.9229110739001173
sign_reversal,240.0,3.0,1103,1.0,-1.4461015491827907,0.0,-1.4461015491827907,-0.5732538470006121,-0.2402294614334597,-0.1139452154647661,-0.6157880924055008,0.44061650045330913,-0.7230507745913953
cross_sectional_q5,240.0,3.0,1102,1.0,1.8458221478002346,0.0,1.8458221478002346,-0.37264123228251,-0.12746700419591583,-0.16166029660196946,-0.39500717854762535,0.46370235934664245,0.9229110739001173
sign_reversal,240.0,5.0,1103,1.0,-1.4461015491827907,0.0,-1.4461015491827907,-0.7256106177563693,-0.3437959998275816,-0.236511689960074,-0.7499459933500672,0.40525838621940163,-0.7230507745913953
cross_sectional_q5,240.0,5.0,1102,1.0,1.8458221478002346,0.0,1.8458221478002346,-0.5963934857773654,-0.24635986477666483,-0.27764109340360665,-0.6067387646198252,0.397459165154265,0.9229110739001173
funding_reversal_q5,480.0,0.0,550,1.0,-2.180464333471069,0.356465463275902,-1.8239988701951668,-0.10065971059814405,-0.10161557521404252,-0.08301434246587336,-0.1895944997271095,0.48727272727272725,-0.9119994350975834
