selection_rank,cost_bp,model,frequency_min,center_hours,scale_days,center_kind,logic,entry_sigma,exit_sigma,hold_hours,exit_rule,period,return,start_equity,end_equity,max_drawdown,sharpe_daily,trades,win_rate,profit_factor,net_pnl,gross_price_pnl,funding_cashflow,net_pnl_including_funding,fees,turnover,break_even_bp,median_hold_min,period_gross_fees,period_net_fees_reference
6,2.0,B0,15,4,7,median,median,2.0,0.5,4,band,valid,0.04601547788656313,102886.9129056978,107621.30337132669,-0.04244721979097277,2.069748640169123,757,0.6142668428005285,1.1033330879133336,4698.48635084926,7839.903509464031,35.90411477956829,4734.390465628828,3141.4171586147695,15707085.793073848,4.991316411425659,120.0,3141.417158614773,3141.417158614773
6,2.0,B0,15,4,7,median,median,2.0,0.5,4,band,holdout,-0.037508754537903255,107621.30337132669,103584.56232012238,-0.07648689669236075,-1.8012452299023798,794,0.6095717884130982,0.898603648870322,-4128.487626605987,-693.8940886867622,91.74657540141845,-4036.741051204569,3434.593537919225,17172967.689596124,-0.4040618379007044,120.0,3434.5935379192247,3434.5935379192247
6,3.0,B0,15,4,7,median,median,2.0,0.5,4,band,valid,0.030302990780890715,101735.50737256672,104818.39751456685,-0.04428763592125484,1.3918355085741039,757,0.6063408190224571,1.0674021077818987,3047.522972320022,7671.754311248361,35.36716968030466,3082.8901420003267,4624.231338928337,15414104.463094458,4.9771002458278515,120.0,4624.231338928345,4624.231338928345
6,3.0,B0,15,4,7,median,median,2.0,0.5,4,band,holdout,-0.05268090239578682,104818.39751456685,99296.46974581917,-0.0809420893691557,-2.5672966963577175,794,0.5957178841309824,0.8595940657410359,-5610.516891432579,-632.238583848361,88.5891226850786,-5521.9277687475,4978.278307584218,16594261.025280725,-0.38099833604230376,120.0,4978.278307584219,4978.278307584219
7,0.0,AR1,15,12,14,sma,band,2.0,0.5,4,band,valid,0.11015984672129986,100757.29618883364,111856.70449304816,-0.03943624349030894,4.919763409846978,1692,0.5898345153664303,1.1797058185390927,11085.912903754092,11085.912903754092,13.495400460339722,11099.408304214432,0.0,35193669.7157581,3.1499735586795974,45.0,0.0,0.0
7,0.0,AR1,15,12,14,sma,band,2.0,0.5,4,band,holdout,0.009489539560125104,111856.70449304816,112918.17311540018,-0.04095116864671422,0.5563491177799346,1768,0.5967194570135747,1.0196237551803748,981.6024410881055,981.6024410881055,79.8661812638158,1061.4686223519213,0.0,39269796.8259144,0.24996371777516802,30.0,0.0,0.0
7,1.0,AR1,15,12,14,sma,band,2.0,0.5,4,band,valid,0.07322292601939262,98417.15487466671,105623.54692509354,-0.0449918682082181,3.349525940626531,1692,0.5797872340425532,1.1186140982028052,7193.460565910158,10572.720958932441,12.931484516450878,7206.392050426609,3379.2603930222867,33792603.93022287,3.128708572077983,45.0,3379.2603930222895,3379.2603930222895
7,1.0,AR1,15,12,14,sma,band,2.0,0.5,4,band,holdout,-0.025587634111219115,105623.54692509354,102920.89025284507,-0.06541364895613722,-1.3265541554225875,1768,0.5774886877828054,0.941971472723424,-2776.598479091318,866.7021518815293,73.94180684270029,-2702.6566722486177,3643.3006309728476,36433006.30972847,0.237889276694166,30.0,3643.3006309728444,3643.3006309728444
7,2.0,AR1,15,12,14,sma,band,2.0,0.5,4,band,valid,0.037513252130565,96131.25987297032,99737.45606221393,-0.05748874606244414,1.7751757813017914,1692,0.5638297872340425,1.0602553345073056,3593.801126893312,10083.879038515295,12.39506235039192,3606.196189243704,6490.077911621982,32450389.55810991,3.1074754959282638,45.0,6490.077911621975,6490.077911621975
7,2.0,AR1,15,12,14,sma,band,2.0,0.5,4,band,holdout,-0.0594475472658077,99737.45606221393,93808.30892878404,-0.09164654439833297,-3.2181527859823906,1768,0.5542986425339367,0.8690977869109426,-5997.610019189142,763.298619051772,68.46288575933823,-5929.147133429804,6760.908638240913,33804543.19120457,0.22579764345118283,30.0,6760.908638240911,6760.908638240911
7,3.0,AR1,15,12,14,sma,band,2.0,0.5,4,band,valid,0.0029901058901966593,93898.35613614683,94179.12216390931,-0.06982268387617696,0.20196899621710188,1692,0.5437352245862884,1.0045822790214545,268.8813453983703,9618.213551293555,11.88468236414114,280.76602776251144,9349.332205895185,31164440.686317287,3.086278251583196,45.0,9349.332205895153,9349.332205895153
7,3.0,AR1,15,12,14,sma,band,2.0,0.5,4,band,holdout,-0.09213238687638481,94179.12216390931,85502.17484502571,-0.11714428940930399,-5.111585332059523,1768,0.5254524886877828,0.8009567664083219,-8740.342829303043,670.3174396667766,63.39551041927013,-8676.947318883773,9410.66026896982,31368867.563232735,0.21368875950512534,30.0,9410.660268969797,9410.660268969797
8,0.0,AR1,60,4,7,sma,band,2.0,0.5,4,band,valid,0.053474517779492414,97911.71891414507,103147.50086804018,-0.02861553782400872,3.3627280616647903,518,0.49613899613899615,1.1712951777844602,5232.268420614493,5232.268420614493,3.51353328059955,5235.781953895093,0.0,10375627.303215204,5.042845379568631,120.0,0.0,0.0
8,0.0,AR1,60,4,7,sma,band,2.0,0.5,4,band,holdout,-0.01900682820681554,103147.50086804018,101186.99403907899,-0.06881854822506073,-1.2963429680213017,588,0.4965986394557823,0.9274047877736896,-1977.5728182686062,-1977.5728182686062,17.065989307367843,-1960.5068289612384,0.0,12101592.748677101,-1.6341425953908315,120.0,0.0,0.0
8,1.0,AR1,60,4,7,sma,band,2.0,0.5,4,band,valid,0.04262036853158979,97195.48937643749,101337.99695326948,-0.03024499816950299,2.7036289177322295,518,0.4922779922779923,1.1349356884298878,4139.049217037879,5163.691253887314,3.4583597938486905,4142.507576831728,1024.6420368494337,10246420.368494336,5.03950752378325,120.0,1024.642036849434,1024.642036849434
8,1.0,AR1,60,4,7,sma,band,2.0,0.5,4,band,holdout,-0.030483658411646464,101337.99695326948,98248.84407002555,-0.07501861087356809,-2.112288372209523,588,0.48299319727891155,0.8857763885176947,-3105.8703442121696,-1923.8428717295749,16.717460968239426,-3089.1528832439303,1182.0274724825947,11820274.724825947,-1.6275788139584915,120.0,1182.0274724825942,1182.0274724825942
8,2.0,AR1,60,4,7,sma,band,2.0,0.5,4,band,valid,0.031877521455239144,96484.46471847188,99560.15031263223,-0.031871800603378464,2.0436808352604747,518,0.4864864864864865,1.099741519363114,3072.281377479975,5096.06274681745,3.404216680516777,3075.6855941604917,2023.7813693374746,10118906.846687373,5.036179128860889,120.0,2023.7813693374762,2023.7813693374762
8,2.0,AR1,60,4,7,sma,band,2.0,0.5,4,band,holdout,-0.04182676844627864,99560.15031263223,95395.87095902907,-0.08129153020022573,-2.9239325138184995,588,0.4710884353741497,0.8460064144890619,-4180.655296148662,-1871.5322250269035,16.375942545458777,-4164.279353603203,2309.123071121759,11545615.355608795,-1.620989585555285,120.0,2309.123071121761,2309.123071121761
8,3.0,AR1,60,4,7,sma,band,2.0,0.5,4,band,valid,0.02124484064486487,95778.60736522936,97813.40861589074,-0.033495949339984565,1.3835773988249487,518,0.4768339768339768,1.065683007887333,2031.4501670918025,5029.369236780529,3.35108356981499,2034.8012506616176,2997.919069688726,9993063.565629087,5.032860247260839,120.0,2997.9190696887254,2997.9190696887254
8,3.0,AR1,60,4,7,sma,band,2.0,0.5,4,band,holdout,-0.05303770993707335,97813.40861589074,92625.6094217647,-0.0876466570568728,-3.730544174434105,588,0.45068027210884354,0.8080262988392127,-5203.840490498247,-1820.6041919533413,16.04129637221845,-5187.799194126029,3383.2362985449067,11277454.328483023,-1.6143751408109124,120.0,3383.236298544905,3383.236298544905
9,0.0,B0,60,4,7,sma,wide_exit,2.0,1.0,4,band,valid,0.05144436918390549,101933.54328538284,107177.45011837968,-0.029611413039031476,2.949702055001468,496,0.6310483870967742,1.1691667358712516,5224.292890214654,5224.292890214654,19.6139427822252,5243.9068329968795,0.0,10283725.99733222,5.080155666895372,120.0,0.0,0.0
9,0.0,B0,60,4,7,sma,wide_exit,2.0,1.0,4,band,holdout,-0.011063102446262296,107177.45011837968,105991.73500779088,-0.058864239955824904,-0.6077464689655113,507,0.6390532544378699,0.949176706042094,-1280.5235259822043,-1280.5235259822043,94.80841539339178,-1185.7151105888124,0.0,11052861.304389656,-1.158544824473318,120.0,0.0,0.0
9,1.0,B0,60,4,7,sma,wide_exit,2.0,1.0,4,band,valid,0.041065686803355206,101261.39938408903,105419.7682964655,-0.029738646351103126,2.373050010483253,496,0.6229838709677419,1.133919597601544,4138.901585409046,5155.4242082654,19.467326967330443,4158.368912376376,1016.5226228563542,10165226.228563543,5.071627617867504,120.0,1016.522622856355,1016.522622856355
9,1.0,B0,60,4,7,sma,wide_exit,2.0,1.0,4,band,holdout,-0.02104774438160295,105419.7682964655,103200.91996059367,-0.06029525435736394,-1.202947402095243,507,0.631163708086785,0.9076418645037138,-2311.5709608581237,-1229.8984907926028,92.72262498642647,-2218.848335871697,1081.672470065523,10816724.70065523,-1.1370341067459182,120.0,1081.6724700655234,1081.6724700655234
9,2.0,B0,60,4,7,sma,wide_exit,2.0,1.0,4,band,valid,0.03078895809231219,100593.65754194563,103690.83144835701,-0.029865870193786836,1.797726321302756,496,0.6169354838709677,1.099506363656102,3077.8520521268383,5087.485907212665,19.321854284200086,3097.1739064110384,2009.6338550858245,10048169.275429122,5.063097334211058,120.0,2009.6338550858238,2009.6338550858238
9,2.0,B0,60,4,7,sma,wide_exit,2.0,1.0,4,band,holdout,-0.030932034651075302,103690.83144835701,100483.46305699763,-0.06308220667525899,-1.7941019829620966,507,0.6252465483234714,0.8673683957963214,-3298.0518067803923,-1180.9094007694566,90.68341542138717,-3207.3683913590053,2117.142406010935,10585712.030054674,-1.1155691723113663,120.0,2117.142406010933,2117.142406010933
9,3.0,B0,60,4,7,sma,wide_exit,2.0,1.0,4,band,valid,0.020613186355696644,99930.2891246489,101990.17079695394,-0.029993084567490058,1.2241464367405974,496,0.6129032258064516,1.0659164088844375,2040.7041579771426,5020.465181746174,19.177514327759486,2059.881672304902,2979.7610237690315,9932536.745896772,5.054564921514312,120.0,2979.761023769028,2979.761023769028
9,3.0,B0,60,4,7,sma,wide_exit,2.0,1.0,4,band,holdout,-0.04071697726876489,101990.17079695394,97837.43933097692,-0.06586103274740818,-2.380910552839069,507,0.6134122287968442,0.8283267687296604,-4241.421197898702,-1133.5080598860059,88.68973192173594,-4152.731465976966,3107.913138012699,10359710.46004233,-1.0941503280984306,120.0,3107.9131380126996,3107.9131380126996
10,0.0,B0,60,4,7,sma,zero_cross,2.0,0.0,4,zero_cross,valid,0.049448953765861337,98509.85644165026,103381.06577831507,-0.03682979613124904,2.3727507372316183,461,0.6290672451193059,1.1477863922888358,4841.745381134697,4841.745381134697,29.463955529922174,4871.209336664619,0.0,9155333.638298368,5.288442313976222,180.0,0.0,0.0
10,0.0,B0,60,4,7,sma,zero_cross,2.0,0.0,4,zero_cross,holdout,0.011545048574963301,103381.06577831507,104574.60520445718,-0.0584797722792596,0.7057752154475136,465,0.621505376344086,1.0412300047684477,1079.8908888018163,1079.8908888018163,113.64853734011683,1193.5394261419333,0.0,9905807.554159222,1.090159366510603,240.0,0.0,0.0
